,Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,Consumer_Rating_binned
0,2023,Honda,Ridgeline RTL,New,46370.0,4.8,9,Platinum White Pearl,Beige,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F58PB011817,00830164,10.0,5.0,4.8,4.8,4.2,5.0,5.0,CA,Dealer,4
2,2023,Honda,CR-V Hybrid Sport,New,34245.0,4.7,2869,Meteorite Gray Metallic,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH704805,PH704805,1.0,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,4
3,2022,Honda,Pilot TrailSport,New,46500.0,5.0,12,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H82NB100429,5700429B,5.0,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer,5
4,2023,Honda,CR-V Hybrid Sport Touring,New,40395.0,4.4,12,Crystal Black Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H90PH805954,5705954,5.0,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,4
5,2023,Honda,Odyssey EX-L,New,42250.0,4.4,12,Pacific Pewter Metallic,Mocha,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H67PB024270,5724270,5.0,5.0,5.0,4.0,4.0,4.0,5.0,CA,Dealer,4
12,2022,Honda,Pilot Special Edition,New,44600.0,5.0,333,Dark Cherry Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XNB087120,78543,3.0,5.0,5.0,5.0,5.0,5.0,5.0,NV,Dealer,5
13,2023,Honda,CR-V EX-L,New,34640.0,4.7,2051,Crystal Black Pearl,–,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H77PL000638,PL000638,5.0,5.0,5.0,5.0,4.0,4.0,5.0,AZ,Dealer,4
17,2023,Honda,CR-V Hybrid Sport Touring,New,40939.0,4.5,1972,Platinum White Pearl,–,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH800251,PH800251,15.0,5.0,3.0,4.0,4.0,5.0,5.0,CO,Dealer,4
18,2022,Honda,Ridgeline RTL-E,New,43190.0,4.7,790,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F73NB023890,229145,10.0,5.0,4.9,4.9,4.3,4.7,5.0,WA,Dealer,4
19,2022,Honda,Ridgeline RTL-E,New,42795.0,4.7,790,Obsidian Blue Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F71NB015061,229118,9268.0,5.0,4.9,4.9,4.3,4.7,5.0,WA,Dealer,4
20,2022,Honda,Passport Elite,New,41950.0,4.7,790,Obsidian Blue Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H05NB011492,224029,9352.0,5.0,5.0,4.9,5.0,4.9,5.0,WA,Dealer,4
21,2023,Honda,Ridgeline RTL-E,New,48820.0,4.8,6,Platinum White Pearl,Beige,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74PB012903,X7016,5.0,5.0,4.8,4.8,4.2,5.0,5.0,NE,Dealer,4
22,2022,Honda,Accord Sport 1.5T,New,30469.0,5.0,5,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,continuously variable,4 Cylinder Engine,1HGCV1F32NA089319,22049,4.0,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer,5
23,2023,Honda,HR-V Sport,New,29039.0,4.6,5,Platinum White Pearl,Black,All-wheel Drive,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ2H52PM722919,23027,16.0,4.0,5.0,4.0,5.0,5.0,5.0,OK,Dealer,4
24,2023,Honda,CR-V EX-L,New,36504.0,4.7,5,Crystal Black Pearl,Gray,All-wheel Drive,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H79PH400825,23011,2.0,5.0,5.0,5.0,4.0,4.0,5.0,OK,Dealer,4
25,2023,Honda,CR-V Hybrid Sport Touring,New,40239.0,4.4,5,Platinum White Pearl,Black,All-wheel Drive,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H94PH800174,23023,7.0,5.0,3.0,4.0,4.0,5.0,5.0,OK,Dealer,4
26,2023,Honda,CR-V Hybrid Sport,New,34089.0,4.4,5,Platinum White Pearl,Black,Front-wheel Drive,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS5H54PH700891,23029,2.0,5.0,3.0,4.0,4.0,5.0,5.0,OK,Dealer,4
27,2022,Honda,Civic Sport,New,25845.0,4.6,5,Rallye Red,Black,Front-wheel Drive,Gasoline,continuously variable,4 Cylinder Engine,19XFL2H87NE021708,22015,18.0,4.6,4.9,4.4,4.6,4.6,4.7,OK,Dealer,4
28,2022,Honda,Pilot TrailSport,New,46420.0,4.4,877,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H89NB083368,HN209,5.0,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer,4
29,2022,Honda,Passport Elite,New,47620.0,4.9,273,Platinum White Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H08NB029825,NB029825,10.0,5.0,5.0,4.9,5.0,4.9,5.0,TX,Dealer,4
30,2022,Honda,Pilot Sport,New,39595.0,4.5,1691,Crystal Black Pearl,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB102612,NB102612,5.0,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer,4
31,2023,Honda,Ridgeline RTL,New,43482.0,5.0,2291,Radiant Red Metallic II,Black,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F56PB012724,PB012724,5.0,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer,5
32,2023,Honda,CR-V EX-L,New,35400.0,4.9,2843,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V DOHC,2HKRS3H72PH300656,43018,10.0,5.0,5.0,5.0,4.0,4.0,5.0,TX,Dealer,4
33,2022,Honda,Pilot TrailSport,New,46500.0,4.6,880,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H86NB084560,NB084560,8.0,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer,4
34,2022,Honda,Accord Sport 1.5T,New,30470.0,4.8,723,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F32NA061052,H061052R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer,4
35,2022,Honda,Accord Sport 2.0T,New,35150.0,4.8,723,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA025528,H025528,5.0,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer,4
36,2022,Honda,Accord Sport 1.5T,New,30075.0,4.8,723,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA061033,H061033R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer,4
39,2022,Honda,Accord Sport 1.5T,New,30470.0,4.9,559,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA116455,116455,10.0,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer,4
40,2022,Honda,Pilot TrailSport,New,46719.0,4.5,820,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H84NB098618,DNF098618,6.0,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer,4
41,2022,Honda,Passport TrailSport,New,41500.0,4.5,3710,–,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H69NB023701,NB023701,13.0,5.0,5.0,4.9,5.0,4.9,5.0,MO,Dealer,4
42,2022,Honda,Pilot EX-L,New,43605.0,5.0,2231,Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H59NB104872,221983,0.0,5.0,5.0,5.0,5.0,5.0,5.0,MN,Dealer,5
43,2023,Honda,CR-V EX,New,34860.0,4.7,13,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H41PL003427,H13514,5.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,4
44,2023,Honda,Odyssey Sport,New,43160.0,4.4,13,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB035452,H13509,6.0,5.0,5.0,4.0,4.0,4.0,5.0,IA,Dealer,4
45,2022,Honda,Passport EX-L,New,43230.0,4.9,13,Radiant Red Metallic II,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB031485,H13426,1.0,5.0,5.0,4.9,5.0,4.9,5.0,IA,Dealer,4
46,2023,Honda,CR-V EX-L,New,36505.0,4.7,13,Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H78PH401352,H13416,6.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,4
47,2023,Honda,CR-V EX,New,34250.0,4.7,13,Platinum White Pearl,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H49PH411250,H13505,6.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,4
48,2022,Honda,Pilot TrailSport,New,46500.0,5.0,13,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H85NB077633,H13377,16.0,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer,5
49,2023,Honda,CR-V EX-L,New,35005.0,4.7,13,Meteorite Gray Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS3H71PL000919,H13504,1.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,4
50,2023,Honda,CR-V EX-L,New,37055.0,4.7,13,Crystal Black Pearl,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H73PH411903,H13515,1.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,4
51,2022,Honda,Passport TrailSport,New,47848.0,4.9,13,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66NB020920,H13362,32.0,5.0,5.0,4.9,5.0,4.9,5.0,IA,Dealer,4
52,2022,Honda,Pilot Special Edition,New,44205.0,5.0,13,Modern Steel Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H24NB086304,H13400,1.0,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer,5
53,2022,Honda,CR-V Touring,New,36845.0,4.8,3,Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H90NH666757,221714,10.0,4.9,4.8,4.7,4.8,4.7,4.9,LA,Dealer,4
55,2022,Honda,Pilot Special Edition,New,44100.0,5.0,3,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB100232,221813,5.0,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer,5
56,2023,Honda,CR-V EX-L,New,38500.0,4.7,3,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H75PH407917,231827,12.0,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer,4
57,2023,Honda,CR-V EX-L,New,37000.0,4.7,3,Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H7XPH300162,231757,12.0,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer,4
58,2023,Honda,CR-V EX-L,New,35400.0,4.7,7,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,2HKRS3H72PH300186,25679,5.0,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer,4
59,2023,Honda,CR-V EX-L,New,35900.0,4.7,7,Urban Gray Pearl,Black,All-wheel Drive,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,2HKRS4H70PH409106,25796,3.0,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer,4
60,2023,Honda,CR-V EX-L,New,36505.0,3.7,270,Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H77PH401343,23H134,2.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,3
61,2022,Honda,Pilot Touring 8-Passenger,New,48860.0,5.0,14,White,Black,All-wheel Drive,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H62NB099796,H22660,2.0,5.0,5.0,5.0,5.0,5.0,5.0,WI,Dealer,5
62,2022,Honda,Accord Hybrid Sport,New,34555.0,4.7,328,White,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F21NA044794,223864,12.0,4.9,5.0,5.0,4.9,4.9,5.0,LA,Dealer,4
63,2022,Honda,Pilot Sport,New,39780.0,5.0,1516,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104164,22843,5.0,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer,5
65,2022,Honda,Pilot Sport,New,41770.0,5.0,1,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H39NB099350,40T404,5.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,5
66,2023,Honda,Odyssey Sport,New,43050.0,4.4,1,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H77PB023354,40T402,5.0,5.0,5.0,4.0,4.0,4.0,5.0,IL,Dealer,4
67,2023,Honda,Ridgeline Black Edition,New,44042.0,5.0,4272,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F82PB009605,H30108,5.0,5.0,4.8,4.8,4.2,5.0,5.0,IL,Dealer,5
68,2022,Honda,Pilot Sport,New,41770.0,4.7,436,Platinum White Pearl,Nh-883p/Black,All-wheel Drive,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H39NB100609,P100609,7.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,4
69,2023,Honda,Odyssey Sport,New,42655.0,4.6,1874,Crystal Black Pearl,–,FWD,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB029697,PB029697,8.0,5.0,5.0,4.0,4.0,4.0,5.0,IL,Dealer,4
